Date,Open,High,Low,Close,Adj Close,Volume
2019-07-15,42.020000,42.020000,40.669998,40.810001,40.435204,408500
2019-07-16,40.919998,41.020000,40.369999,40.880001,40.504562,604800
2019-07-17,40.560001,40.689999,39.990002,40.110001,39.741634,726800
2019-07-18,40.240002,41.180000,39.950001,41.049999,40.672997,621100
2019-07-19,40.830002,41.680000,40.830002,41.049999,40.672997,747700
2019-07-22,41.000000,41.150002,40.560001,40.980000,40.603642,683300
2019-07-23,41.200001,41.400002,40.779999,41.340000,40.960335,814400
2019-07-24,41.279999,43.060001,41.279999,42.939999,42.545639,699700
2019-07-25,43.299999,44.770000,43.200001,43.320000,42.922150,906200
2019-07-26,43.330002,43.830002,42.240002,43.430000,43.031143,719900
2019-07-29,43.299999,43.360001,42.470001,42.740002,42.347481,717100
2019-07-30,42.299999,43.419998,42.070000,43.419998,43.021233,815600
2019-07-31,43.360001,43.750000,42.000000,42.040001,41.653908,12897400
2019-08-01,42.650002,43.290001,40.840000,41.180000,40.801807,1931900
2019-08-02,41.349998,41.349998,39.220001,40.139999,39.771355,2616700
2019-08-05,42.040001,42.040001,42.040001,42.040001,41.653908,0
2019-08-06,38.759998,39.180000,37.799999,39.029999,38.671551,1557200
2019-08-07,38.090000,38.459999,37.160000,38.160000,37.809540,1546800
2019-08-08,38.410000,39.740002,38.220001,38.990002,38.631920,2173100
2019-08-09,38.770000,39.099998,38.380001,38.919998,38.562557,792200
2019-08-12,38.320000,38.700001,37.619999,37.900002,37.551929,493900
2019-08-13,37.689999,38.779999,37.389999,38.110001,37.760002,1688100
2019-08-14,36.970001,37.209999,36.529999,36.639999,36.639999,1056900
2019-08-15,36.740002,36.939999,35.959999,36.099998,36.099998,863500
2019-08-16,36.500000,37.740002,36.139999,37.650002,37.650002,1067000
2019-08-19,38.410000,38.480000,38.000000,38.169998,38.169998,808300
2019-08-20,38.119999,38.119999,37.560001,37.910000,37.910000,994400
2019-08-21,38.290001,38.509998,38.049999,38.430000,38.430000,1023200
2019-08-22,38.599998,38.939999,38.110001,38.560001,38.560001,706100
2019-08-23,38.419998,38.930000,36.869999,37.020000,37.020000,960300
2019-08-26,37.279999,37.450001,36.689999,37.400002,37.400002,1097500
2019-08-27,37.500000,37.700001,36.509998,36.669998,36.669998,680700
2019-08-28,36.509998,37.389999,36.419998,36.930000,36.930000,500000
2019-08-29,37.320000,38.130001,37.320000,38.090000,38.090000,812600
2019-08-30,38.470001,38.910000,38.310001,38.560001,38.560001,1408900
2019-09-03,38.220001,38.410000,37.189999,37.410000,37.410000,1328000
